sourceTaxonID	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:2496709	Abies lasiocarpa var. lasiocarpa		Greater Yellowstone Ecosystem					BLANCHARD, B.M. 1983. Grizzly bear-habitat relationships in the Yellowstone area. International Conference on Bear Research and Management 5:118-123.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:1061646	Picea engelmannii		Greater Yellowstone Ecosystem					BLANCHARD, B.M. 1983. Grizzly bear-habitat relationships in the Yellowstone area. International Conference on Bear Research and Management 5:118-123.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:1061758	Pinus contorta		Greater Yellowstone Ecosystem					BLANCHARD, B.M. 1983. Grizzly bear-habitat relationships in the Yellowstone area. International Conference on Bear Research and Management 5:118-123.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:1061712	Pseudotsuga menziesii		Greater Yellowstone Ecosystem					BLANCHARD, B.M. 1983. Grizzly bear-habitat relationships in the Yellowstone area. International Conference on Bear Research and Management 5:118-123.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:594656	Actaea rubra		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:411731	Amelanchier alnifolia		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:583640	Arctostaphylos uva-ursi		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:468487	Berberis repens		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:328109	Bison bison		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:585386	Bistorta vivipara		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
EOL:328581	Ursus arctos	RO:0002470	eats	EOL:1114258	Calamagrostis rubescens		Greater Yellowstone Ecosystem					CRAIGHEAD, J.J., J.S. SUMNER, AND J.A. MITCHELL. 1995. The grizzly bears of Yellowstone, their ecology in the Yellowstone ecosystem, 1959-1992. Island Press, Covelo, California, USA.
